company,city,website,founder_name,founder_contact_masked,source,source_page,also_seen_in,confidence
NanoScan,,https://www.nanoscan.ch/,,,University of Basel,https://www.unibas.ch/en/University/Innovation/Propelling-Grants/Our-Start-ups.html,,n/a (not Swiss Medtech Day)
Santhera Pharmaceuticals,,https://www.santhera.com/,,,University of Basel,https://www.unibas.ch/en/University/Innovation/Propelling-Grants/Our-Start-ups.html,,n/a (not Swiss Medtech Day)
Alpha-O Peptides,,https://www.aopeptides.com/,,,University of Basel,https://www.unibas.ch/en/University/Innovation/Propelling-Grants/Our-Start-ups.html,,n/a (not Swiss Medtech Day)
4-Antibody,,https://agenusbio.com/,,,University of Basel,https://www.unibas.ch/en/University/Innovation/Propelling-Grants/Our-Start-ups.html,,n/a (not Swiss Medtech Day)
Nanonis,,https://www.specs-group.com/nanonis/products/,,,University of Basel,https://www.unibas.ch/en/University/Innovation/Propelling-Grants/Our-Start-ups.html,,n/a (not Swiss Medtech Day)
Canoo Engineering,,https://imtf.com/,,,University of Basel,https://www.unibas.ch/en/University/Innovation/Propelling-Grants/Our-Start-ups.html,,n/a (not Swiss Medtech Day)
Diagene,,https://www.diagene.com/,,,University of Basel,https://www.unibas.ch/en/University/Innovation/Propelling-Grants/Our-Start-ups.html,,n/a (not Swiss Medtech Day)
Nanosurf,,https://www.nanosurf.com/,,,University of Basel,https://www.unibas.ch/en/University/Innovation/Propelling-Grants/Our-Start-ups.html,,n/a (not Swiss Medtech Day)
Vitaplant,,https://vitaplant.ch/de/,,,University of Basel,https://www.unibas.ch/en/University/Innovation/Propelling-Grants/Our-Start-ups.html,,n/a (not Swiss Medtech Day)
dexterousendoscopes.com,,https://www.dexterousendoscopes.com/,,,BioAlps,https://bioalps.org/venture-leaders-medtech-2026/,,n/a (not Swiss Medtech Day)
molesense.ch,,https://www.molesense.ch/,,,BioAlps,https://bioalps.org/venture-leaders-medtech-2026/,,n/a (not Swiss Medtech Day)
optizone.ch,,https://www.optizone.ch/,,,BioAlps,https://bioalps.org/venture-leaders-medtech-2026/,,n/a (not Swiss Medtech Day)
beyond-diagnostics.com,,https://www.beyond-diagnostics.com,,,BioAlps,https://bioalps.org/venture-leaders-medtech-2026/,,n/a (not Swiss Medtech Day)
neurodaignostics.com,,https://neurodaignostics.com/,,,BioAlps,https://bioalps.org/venture-leaders-medtech-2026/,,n/a (not Swiss Medtech Day)
